messier_id,ngc_id,v_mag,type,comments,ra,dec,ref,is_up
,IC 4595,,Gx,GALAXY,16.345,-70.15,,
,IC 4596,,Gx,GALAXY,16.268,-22.633,,
,IC 4597,,U,UNIDENTIFIED,16.297,-34.367,,
,IC 4598,,U,UNIDENTIFIED,16.303,-31.45,,
,IC 4599,,U,UNIDENTIFIED,16.322,-42.267,,
,IC 46,15.0,Gx,GALAXY,0.717,27.25,,
,IC 460,16.0,Gx,GALAXY,7.178,50.217,,
,IC 4600,,U,UNIDENTIFIED,16.305,-22.783,,
,IC 4601,,Nb,REFLECTION NEBULA,16.333,-20.033,,
,IC 4602,,U,UNIDENTIFIED,16.39,12.75,,
,IC 4603,,Nb,REFLECTION NEBULA,16.427,-24.467,,
,IC 4604,,Nb,REFLECTION NEBULA,16.427,-23.433,,
,IC 4605,,Nb,REFLECTION NEBULA,16.503,-25.1,,
,IC 4606,,U,UNIDENTIFIED,16.527,-26.05,,
,IC 4607,,U,UNIDENTIFIED,16.505,24.567,,
,IC 4608,,Gx,GALAXY,16.782,-77.483,,
,IC 4609,15.0,Gx,GALAXY,16.55,22.767,,
,IC 461,16.0,Gx,GALAXY,7.178,50.083,,
,IC 4610,,U,UNIDENTIFIED,16.56,39.267,,
,IC 4611,,U,UNIDENTIFIED,16.562,39.333,,
,IC 4612,,U,UNIDENTIFIED,16.563,39.267,,
,IC 4613,,Gx,GALAXY,16.622,35.983,,
,IC 4614,,Gx,GALAXY,16.63,36.117,,
,IC 4615,12.8,Gx,GALAXY,16.632,36.067,,
,IC 4616,,Gx,GALAXY,16.633,36.0,,
,IC 4617,,Gx,GALAXY,16.702,36.683,,
,IC 4618,,Gx,GALAXY,16.965,-77.0,,
,IC 4619,15.0,Gx,GALAXY,16.737,17.767,,
,IC 462,,U,UNIDENTIFIED,7.183,50.183,,
,IC 4620,,U,UNIDENTIFIED,16.808,18.283,,
,IC 4621,15.0,Gx,GALAXY,16.847,8.8,,
,IC 4622,,?,UNIDENTIFIED,16.868,-16.233,,
,IC 4623,15.0,Gx,GALAXY,16.853,22.517,,
,IC 4624,16.0,Gx,GALAXY,16.858,17.45,,
,IC 4625,,U,UNIDENTIFIED,16.882,2.433,,
,IC 4626,,SS,STAR,16.89,2.317,,
,IC 4627,,U,UNIDENTIFIED,16.902,-7.633,,
,IC 4628,,Nb,REFLECTION NEBULA,16.95,-40.333,,
,IC 4629,,U,UNIDENTIFIED,16.937,-16.717,,
,IC 463,15.0,Gx,GALAXY,7.182,50.133,,
,IC 4630,15.0,Gx,GALAXY,16.918,26.65,,
,IC 4631,,U,UNIDENTIFIED,17.183,-77.6,,
,IC 4632,,U,UNIDENTIFIED,16.975,22.917,,
,IC 4633,,Gx,GALAXY,17.23,-77.533,,
,IC 4634,11.0,Pl,PLANETARY NEBULA,17.027,-21.833,,
,IC 4635,,Gx,GALAXY,17.262,-77.483,,
,IC 4636,,U,UNIDENTIFIED,16.983,47.183,,
,IC 4637,14.0,Pl,PLANETARY NEBULA,17.087,-40.883,,
,IC 4638,,U,UNIDENTIFIED,17.02,33.567,,
,IC 4639,,U,UNIDENTIFIED,17.048,22.9,,
,IC 464,15.0,Gx,GALAXY,7.183,50.15,,
,IC 4640,,Gx,GALAXY,17.398,-80.067,,
,IC 4641,,Gx,GALAXY,17.403,-80.15,,
,IC 4642,13.0,Pl,PLANETARY NEBULA,17.197,-55.4,,
,IC 4643,,U,UNIDENTIFIED,17.142,42.333,,
,IC 4644,,Gx,GALAXY,17.41,-73.933,,
,IC 4645,16.0,Gx,GALAXY,17.243,43.117,,
,IC 4646,,Gx,GALAXY,17.398,-60.0,,
,IC 4647,,Gx,GALAXY,17.433,-80.2,,
,IC 4648,,OC,OPEN STAR CLUSTER,17.267,45.867,,
,IC 4649,,U,UNIDENTIFIED,17.263,57.383,,
,IC 465,15.0,Gx,GALAXY,7.192,50.25,,
,IC 4650,,U,UNIDENTIFIED,17.265,57.333,,
,IC 4651,6.9,OC,OPEN STAR CLUSTER,17.412,-49.95,,
,IC 4652,,Gx,GALAXY,17.44,-59.733,,
,IC 4653,,Gx,GALAXY,17.452,-60.883,,
,IC 4654,,Gx,GALAXY,17.618,-74.383,,
,IC 4655,,U,UNIDENTIFIED,17.577,-60.717,,
,IC 4656,,Gx,GALAXY,17.628,-63.733,,
,IC 4657,,?,UNIDENTIFIED,17.545,-17.517,,
,IC 4658,,U,UNIDENTIFIED,17.62,-59.583,,
,IC 4659,,U,UNIDENTIFIED,17.57,-17.933,,
,IC 466,,Nb,REFLECTION NEBULA,7.143,-4.317,,
,IC 4660,,Gx,GALAXY,17.36,75.85,,
,IC 4661,,Gx,GALAXY,17.85,-74.033,,
,IC 4662,11.4,Gx,GALAXY,17.785,-64.633,,
,IC 4663,13.0,Pl,PLANETARY NEBULA,17.758,-44.9,,
,IC 4664,,Gx,GALAXY,17.817,-63.25,,
,IC 4665,4.2,OC,OPEN STAR CLUSTER,17.772,5.717,,
,IC 4666,16.0,Gx,GALAXY,17.763,55.767,,
,IC 4667,,U,UNIDENTIFIED,17.772,55.883,,
,IC 4668,,U,UNIDENTIFIED,17.782,57.4,,
,IC 4669,,Gx,GALAXY,17.787,61.433,,
,IC 467,12.0,Gx,GALAXY,7.5,79.867,,
,IC 4670,,Nb,REFLECTION NEBULA,17.918,-21.8,,
,IC 4671,,U,UNIDENTIFIED,17.918,-10.283,,
,IC 4672,,U,UNIDENTIFIED,18.04,-62.833,,
,IC 4673,,Pl,PLANETARY NEBULA,18.055,-27.1,,
,IC 4674,,Gx,GALAXY,18.137,-62.4,,
,IC 4675,,U,UNIDENTIFIED,18.053,-9.25,,
,IC 4676,16.0,Gx,GALAXY,18.047,11.817,,
,IC 4677,15.0,Gx,GALAXY,17.972,66.633,,
,IC 4678,,U,UNIDENTIFIED,18.133,-23.867,,
,IC 4679,,Gx,GALAXY,18.19,-56.25,,
,IC 468,,Nb,REFLECTION NEBULA,7.292,-13.15,,
,IC 4680,,Gx,GALAXY,18.225,-64.483,,
,IC 4681,,U,UNIDENTIFIED,18.138,-23.4,,
,IC 4682,,Gx,GALAXY,18.273,-71.583,,
,IC 4683,,U,UNIDENTIFIED,18.145,-26.233,,
,IC 4684,,Nb,REFLECTION NEBULA,18.152,-23.417,,
,IC 4685,,Nb,REFLECTION NEBULA,18.155,-23.983,,
,IC 4686,,Gx,GALAXY,18.227,-57.733,,
,IC 4687,,Gx,GALAXY,18.228,-57.733,,
,IC 4688,15.0,Gx,GALAXY,18.135,11.7,,
,IC 4689,,Gx,GALAXY,18.228,-57.75,,
,IC 469,,Gx,GALAXY,7.933,85.167,,
,IC 4690,,U,UNIDENTIFIED,18.175,-19.817,,
,IC 4691,15.0,Gx,GALAXY,18.145,11.833,,
,IC 4692,,Gx,GALAXY,18.247,-58.7,,
,IC 4693,,U,UNIDENTIFIED,18.153,17.333,,
,IC 4694,,Gx,GALAXY,18.257,-58.217,,
,IC 4695,,U,UNIDENTIFIED,18.29,-58.917,,
,IC 4696,,Gx,GALAXY,18.338,-64.733,,
,IC 4697,15.0,Gx,GALAXY,18.208,25.433,,
,IC 4698,,U,UNIDENTIFIED,18.35,-63.367,,
,IC 4699,12.0,Pl,PLANETARY NEBULA,18.308,-45.983,,
,IC 47,,?,UNIDENTIFIED,0.715,-13.75,,
,IC 470,,U,UNIDENTIFIED,7.392,46.083,,
,IC 4700,,U,UNIDENTIFIED,18.285,-19.867,,
,IC 4701,,Nb,REFLECTION NEBULA,18.275,-16.733,,
,IC 4702,,Gx,GALAXY,18.385,-59.233,,
,IC 4703,,OC,OPEN STAR CLUSTER,18.315,-13.783,,
,IC 4704,,Gx,GALAXY,18.465,-71.617,,
,IC 4705,,Gx,GALAXY,18.47,-71.7,,
,IC 4706,,U,UNIDENTIFIED,18.327,-16.017,,
,IC 4707,,U,UNIDENTIFIED,18.335,-16.017,,
,IC 4708,15.0,Gx,GALAXY,18.228,61.15,,
,IC 4709,,U,UNIDENTIFIED,18.405,-56.2,,
,IC 471,14.0,Gx,GALAXY,7.727,49.65,,
,IC 4710,12.0,Gx,GALAXY,18.478,-66.983,,
,IC 4711,,U,UNIDENTIFIED,18.468,-64.95,,
,IC 4712,,Gx,GALAXY,18.518,-71.7,,
,IC 4713,,Gx,GALAXY,18.5,-67.217,,
,IC 4714,,Gx,GALAXY,18.515,-66.65,,
,IC 4715,,C+N,OPEN STAR CLUSTER,18.437,-18.433,,
,IC 4716,,U,UNIDENTIFIED,18.545,-56.967,,
,IC 4717,,Gx,GALAXY,18.555,-57.967,,
,IC 4718,,Gx,GALAXY,18.563,-60.133,,
,IC 4719,,Gx,GALAXY,18.553,-56.733,,
,IC 472,14.0,Gx,GALAXY,7.73,49.6,,
,IC 4720,,Gx,GALAXY,18.558,-58.4,,
,IC 4721,13.0,Gx,GALAXY,18.575,-58.5,,
,IC 4722,,Gx,GALAXY,18.575,-57.8,,
,IC 4723,15.0,Pl,PLANETARY NEBULA,18.597,-63.367,,
,IC 4724,,U,UNIDENTIFIED,18.643,-70.117,,
,IC 4725,4.6,OC,OPEN STAR CLUSTER,18.527,-19.25,,
,IC 4726,,U,UNIDENTIFIED,18.615,-62.85,,
,IC 4727,,Gx,GALAXY,18.632,-62.7,,
,IC 4728,,Gx,GALAXY,18.632,-62.533,,
,IC 4729,,Gx,GALAXY,18.667,-67.433,,
,IC 473,,U,UNIDENTIFIED,7.707,9.25,,
,IC 4730,,Gx,GALAXY,18.647,-63.35,,
,IC 4731,,Gx,GALAXY,18.645,-62.95,,
,IC 4732,13.0,Pl,PLANETARY NEBULA,18.565,-22.65,,
,IC 4733,,U,UNIDENTIFIED,18.442,64.967,,
,IC 4734,,Gx,GALAXY,18.64,-57.483,,
,IC 4735,,U,UNIDENTIFIED,18.662,-62.95,,
,IC 4736,,Gx,GALAXY,18.643,-57.9,,
,IC 4737,,U,UNIDENTIFIED,18.665,-62.6,,
,IC 4738,,U,UNIDENTIFIED,18.673,-61.9,,
,IC 4739,,U,UNIDENTIFIED,18.68,-61.9,,
,IC 474,,U,UNIDENTIFIED,7.768,26.483,,
,IC 4740,,Gx,GALAXY,18.717,-68.367,,
,IC 4741,,U,UNIDENTIFIED,18.693,-63.95,,
,IC 4742,,Gx,GALAXY,18.698,-63.867,,
,IC 4743,,U,UNIDENTIFIED,18.688,-61.767,,
,IC 4744,,U,UNIDENTIFIED,18.697,-63.233,,
,IC 4745,,Gx,GALAXY,18.71,-64.95,,
,IC 4746,,U,UNIDENTIFIED,18.765,-72.667,,
,IC 4747,,U,UNIDENTIFIED,18.765,-72.617,,
,IC 4748,,U,UNIDENTIFIED,18.712,-64.083,,
,IC 4749,,U,UNIDENTIFIED,18.715,-63.217,,
,IC 475,15.0,Gx,GALAXY,7.787,30.517,,
,IC 4750,,U,UNIDENTIFIED,18.717,-62.967,,
,IC 4751,,U,UNIDENTIFIED,18.72,-62.117,,
,IC 4752,,U,UNIDENTIFIED,18.73,-64.083,,
,IC 4753,,U,UNIDENTIFIED,18.725,-62.1,,
,IC 4754,,Gx,GALAXY,18.733,-61.983,,
,IC 4755,,U,UNIDENTIFIED,18.75,-63.683,,
,IC 4756,5.0,OC,OPEN STAR CLUSTER,18.65,5.45,,
,IC 4757,,Gx,GALAXY,18.732,-57.167,,
,IC 4758,,U,UNIDENTIFIED,18.773,-65.75,,
,IC 4759,,Gx,GALAXY,18.762,-63.083,,
,IC 476,15.0,Gx,GALAXY,7.788,26.95,,
,IC 4760,,U,UNIDENTIFIED,18.762,-62.95,,
,IC 4761,,Gx,GALAXY,18.732,-52.85,,
,IC 4762,,OC,OPEN STAR CLUSTER,18.542,67.833,,
,IC 4763,,U,UNIDENTIFIED,18.558,67.133,,
,IC 4764,,U,UNIDENTIFIED,18.783,-63.483,,
,IC 4765,,Gx,GALAXY,18.788,-63.333,,
,IC 4766,,U,UNIDENTIFIED,18.792,-63.283,,
,IC 4767,,Gx,GALAXY,18.795,-63.4,,
,IC 4768,,OC,OPEN STAR CLUSTER,18.697,-5.517,,
,IC 4769,,Gx,GALAXY,18.795,-63.167,,
,IC 477,15.0,Gx,GALAXY,7.868,23.467,,
,IC 4770,,U,UNIDENTIFIED,18.802,-63.383,,
,IC 4771,,U,UNIDENTIFIED,18.805,-63.25,,
,IC 4772,15.0,Gx,GALAXY,18.665,40.0,,
,IC 4773,,Gx,GALAXY,18.855,-69.917,,
,IC 4774,,Gx,GALAXY,18.803,-57.933,,
,IC 4775,,Gx,GALAXY,18.807,-57.183,,
,IC 4776,12.0,Pl,PLANETARY NEBULA,18.763,-33.35,,
,IC 4777,,U,UNIDENTIFIED,18.802,-53.133,,
,IC 4778,,Gx,GALAXY,18.833,-61.717,,
,IC 4779,,U,UNIDENTIFIED,18.842,-63.0,,
,IC 478,15.0,Gx,GALAXY,7.895,26.483,,
,IC 4780,,U,UNIDENTIFIED,18.833,-59.233,,
,IC 4781,,U,UNIDENTIFIED,18.862,-62.783,,
,IC 4782,,Gx,GALAXY,18.848,-55.483,,
,IC 4783,,U,UNIDENTIFIED,18.858,-58.8,,
,IC 4784,,U,UNIDENTIFIED,18.882,-63.417,,
,IC 4785,,Gx,GALAXY,18.882,-59.25,,
,IC 4786,,U,UNIDENTIFIED,18.878,-56.7,,
,IC 4787,,Gx,GALAXY,18.935,-68.683,,
,IC 4788,,U,UNIDENTIFIED,18.912,-63.433,,
,IC 4789,,Gx,GALAXY,18.938,-68.567,,
,IC 479,15.0,Gx,GALAXY,7.907,27.0,,
,IC 4790,,U,UNIDENTIFIED,18.943,-64.933,,
,IC 4791,,U,UNIDENTIFIED,18.817,19.333,,
,IC 4792,,U,UNIDENTIFIED,18.928,-56.417,,
,IC 4793,,U,UNIDENTIFIED,18.948,-61.383,,
,IC 4794,,U,UNIDENTIFIED,18.952,-62.083,,
,IC 4795,,U,UNIDENTIFIED,18.953,-61.6,,
,IC 4796,,Gx,GALAXY,18.942,-54.217,,
,IC 4797,11.3,Gx,GALAXY,18.942,-54.3,,
,IC 4798,,Gx,GALAXY,18.972,-62.117,,
,IC 4799,,U,UNIDENTIFIED,18.982,-63.917,,
,IC 48,,U,UNIDENTIFIED,0.727,-7.883,,
,IC 480,,U,UNIDENTIFIED,7.922,26.783,,
,IC 4800,,Gx,GALAXY,18.978,-63.133,,
,IC 4801,,Gx,GALAXY,18.993,-64.667,,
,IC 4802,,U,UNIDENTIFIED,18.918,-22.7,,
,IC 4803,,U,UNIDENTIFIED,19.01,-62.067,,
,IC 4804,,Gx,GALAXY,19.018,-61.833,,
,IC 4805,,U,UNIDENTIFIED,19.033,-63.05,,
,IC 4806,,Gx,GALAXY,19.025,-57.533,,
,IC 4807,,Gx,GALAXY,19.038,-56.933,,
,IC 4808,,Gx,GALAXY,19.018,-45.317,,
,IC 4809,,U,UNIDENTIFIED,19.067,-62.167,,
,IC 481,15.0,Gx,GALAXY,7.983,24.15,,
,IC 4810,,Gx,GALAXY,19.05,-56.167,,
,IC 4811,,U,UNIDENTIFIED,19.097,-67.117,,
,IC 4812,,Nb,REFLECTION NEBULA,19.018,-37.067,,
,IC 4813,,U,UNIDENTIFIED,19.097,-66.517,,
,IC 4814,,U,UNIDENTIFIED,19.083,-58.733,,
,IC 4815,,U,UNIDENTIFIED,19.112,-61.683,,
,IC 4816,,U,UNIDENTIFIED,19.03,-13.15,,
,IC 4817,,Gx,GALAXY,19.103,-56.167,,
,IC 4818,,Gx,GALAXY,19.1,-55.133,,
,IC 4819,,Gx,GALAXY,19.118,-59.467,,
,IC 482,15.0,Gx,GALAXY,7.997,25.35,,
,IC 4820,,Gx,GALAXY,19.153,-63.467,,
,IC 4821,,Gx,GALAXY,19.158,-55.017,,
,IC 4822,,U,UNIDENTIFIED,19.248,-72.433,,
,IC 4823,,U,UNIDENTIFIED,19.203,-64.0,,
,IC 4824,,Gx,GALAXY,19.22,-62.083,,
,IC 4825,,U,UNIDENTIFIED,19.288,-72.75,,
,IC 4826,,Gx,GALAXY,19.205,-57.2,,
,IC 4827,,Gx,GALAXY,19.222,-60.867,,
,IC 4828,,U,UNIDENTIFIED,19.227,-62.067,,
,IC 4829,,Gx,GALAXY,19.21,-56.533,,
,IC 483,,U,UNIDENTIFIED,7.998,25.917,,
,IC 4830,,Gx,GALAXY,19.23,-59.3,,
,IC 4831,,Gx,GALAXY,19.245,-62.267,,
,IC 4832,,Gx,GALAXY,19.235,-56.617,,
,IC 4833,,U,UNIDENTIFIED,19.26,-62.333,,
,IC 4834,,U,UNIDENTIFIED,19.275,-64.017,,
,IC 4835,,U,UNIDENTIFIED,19.258,-58.233,,
,IC 4836,,Gx,GALAXY,19.272,-60.2,,
,IC 4837,12.0,Gx,GALAXY,19.255,-54.667,,
,IC 4838,,U,UNIDENTIFIED,19.28,-61.617,,
,IC 4839,,Gx,GALAXY,19.26,-54.633,,
,IC 484,15.0,Gx,GALAXY,7.998,26.667,,
,IC 4840,,Gx,GALAXY,19.265,-56.217,,
,IC 4841,,U,UNIDENTIFIED,19.347,-72.217,,
,IC 4842,12.3,Gx,GALAXY,19.325,-60.65,,
,IC 4843,,U,UNIDENTIFIED,19.322,-59.3,,
,IC 4844,,Gx,GALAXY,19.317,-56.033,,
,IC 4845,,Gx,GALAXY,19.34,-60.383,,
,IC 4846,13.0,Pl,PLANETARY NEBULA,19.275,-9.05,,
,IC 4847,,U,UNIDENTIFIED,19.392,-65.517,,
,IC 4848,,U,UNIDENTIFIED,19.38,-56.783,,
,IC 4849,,U,UNIDENTIFIED,19.423,-62.9,,
,IC 485,15.0,Gx,GALAXY,8.005,26.7,,
,IC 4850,,U,UNIDENTIFIED,19.34,-0.133,,
,IC 4851,,Gx,GALAXY,19.425,-57.667,,
,IC 4852,,Gx,GALAXY,19.44,-60.333,,
,IC 4853,,U,UNIDENTIFIED,19.515,-71.067,,
,IC 4854,,U,UNIDENTIFIED,19.457,-59.3,,
,IC 4855,,U,UNIDENTIFIED,19.458,-59.3,,
,IC 4856,,Gx,GALAXY,19.458,-54.917,,
,IC 4857,,Gx,GALAXY,19.477,-58.767,,
,IC 4858,,Gx,GALAXY,19.477,-58.767,,
,IC 4859,,U,UNIDENTIFIED,19.513,-66.317,,
,IC 486,15.0,Gx,GALAXY,8.005,26.617,,
,IC 4860,,Gx,GALAXY,19.525,-67.367,,
,IC 4861,,U,UNIDENTIFIED,19.487,-57.567,,
,IC 4862,,Gx,GALAXY,19.528,-67.317,,
,IC 4863,,U,UNIDENTIFIED,19.472,-36.2,,
,IC 4864,,Gx,GALAXY,19.668,-77.55,,
,IC 4865,,U,UNIDENTIFIED,19.515,-46.7,,
,IC 4866,,Gx,GALAXY,19.577,-61.15,,
,IC 4867,14.0,Gx,GALAXY,19.442,50.117,,
,IC 4868,,U,UNIDENTIFIED,19.558,-45.9,,
,IC 4869,,Gx,GALAXY,19.6,-61.033,,
,IC 487,,U,UNIDENTIFIED,7.987,-0.667,,
,IC 4870,,Gx,GALAXY,19.627,-65.817,,
,IC 4871,,Gx,GALAXY,19.595,-57.517,,
,IC 4872,,Gx,GALAXY,19.595,-57.517,,
,IC 4873,,U,UNIDENTIFIED,19.582,-46.133,,
,IC 4874,,Gx,GALAXY,19.607,-47.267,,
,IC 4875,,Gx,GALAXY,19.628,-52.067,,
,IC 4876,,Gx,GALAXY,19.628,-52.85,,
,IC 4877,,Gx,GALAXY,19.632,-51.983,,
,IC 4878,,U,UNIDENTIFIED,19.647,-58.217,,
,IC 4879,,U,UNIDENTIFIED,19.662,-52.367,,
,IC 488,,U,UNIDENTIFIED,8.013,25.9,,
,IC 4880,,Gx,GALAXY,19.675,-56.417,,
,IC 4881,,Gx,GALAXY,19.673,-55.85,,
,IC 4882,,Gx,GALAXY,19.673,-55.2,,
,IC 4883,,Gx,GALAXY,19.7,-55.55,,
,IC 4884,,U,UNIDENTIFIED,19.712,-58.117,,
,IC 4885,,Gx,GALAXY,19.732,-60.65,,
,IC 4886,,Gx,GALAXY,19.718,-51.8,,
,IC 4887,,U,UNIDENTIFIED,19.805,-69.583,,
,IC 4888,,Gx,GALAXY,19.748,-54.45,,
,IC 4889,12.0,Gx,GALAXY,19.755,-54.333,,
,IC 489,,U,UNIDENTIFIED,8.027,26.0,,
,IC 4890,,Gx,GALAXY,19.76,-56.55,,
,IC 4891,,Gx,GALAXY,19.755,-54.35,,
,IC 4892,,Gx,GALAXY,19.825,-70.233,,
,IC 4893,,U,UNIDENTIFIED,19.843,-72.517,,
,IC 4894,,Gx,GALAXY,19.783,-51.85,,
,IC 4895,8.0,Gx,GALAXY,19.75,-14.8,,
,IC 4896,,U,UNIDENTIFIED,19.818,-58.983,,
,IC 4897,,Gx,GALAXY,19.822,-51.867,,
,IC 4898,,U,UNIDENTIFIED,19.797,-33.317,,
,IC 4899,,U,UNIDENTIFIED,19.907,-70.6,,
,IC 49,,Gx,GALAXY,0.733,1.85,,
,IC 490,16.0,Gx,GALAXY,8.055,25.8,,
,IC 4900,,U,UNIDENTIFIED,19.838,-51.333,,
,IC 4901,,Gx,GALAXY,19.907,-58.717,,
,IC 4902,,U,UNIDENTIFIED,19.907,-56.383,,
,IC 4903,,U,UNIDENTIFIED,19.97,-70.45,,
,IC 4904,,U,UNIDENTIFIED,19.975,-70.183,,
,IC 4905,,U,UNIDENTIFIED,19.935,-61.217,,
,IC 4906,,Gx,GALAXY,19.947,-60.467,,
,IC 4907,,U,UNIDENTIFIED,19.937,-52.45,,
,IC 4908,,U,UNIDENTIFIED,19.948,-55.783,,
,IC 4909,,Gx,GALAXY,19.945,-50.05,,
,IC 491,15.0,Gx,GALAXY,8.063,26.533,,
,IC 4910,,U,UNIDENTIFIED,19.963,-56.867,,
,IC 4911,,U,UNIDENTIFIED,19.962,-51.967,,
,IC 4912,,Gx,GALAXY,20.113,-77.35,,
,IC 4913,,Gx,GALAXY,19.947,-37.333,,
,IC 4914,,U,UNIDENTIFIED,19.968,-50.117,,
,IC 4915,,Gx,GALAXY,19.975,-52.633,,
,IC 4916,,Gx,GALAXY,19.972,-50.267,,
,IC 4917,,Gx,GALAXY,19.982,-52.267,,
,IC 4918,,U,UNIDENTIFIED,19.988,-52.283,,
,IC 4919,,Gx,GALAXY,20.003,-55.367,,
,IC 492,,Gx,GALAXY,8.095,26.167,,
,IC 4920,,U,UNIDENTIFIED,20.002,-53.383,,
,IC 4921,,U,UNIDENTIFIED,20.055,-67.833,,
,IC 4922,,U,UNIDENTIFIED,19.992,-40.367,,
,IC 4923,,Gx,GALAXY,20.017,-52.633,,
,IC 4924,,U,UNIDENTIFIED,19.998,-41.55,,
,IC 4925,,U,UNIDENTIFIED,20.02,-52.85,,
,IC 4926,,U,UNIDENTIFIED,20.003,-38.583,,
,IC 4927,,Gx,GALAXY,20.03,-53.917,,
,IC 4928,,U,UNIDENTIFIED,20.17,-77.3,,
,IC 4929,,Gx,GALAXY,20.112,-71.683,,
,IC 493,,U,UNIDENTIFIED,8.123,25.1,,
,IC 4930,,U,UNIDENTIFIED,20.04,-54.3,,
,IC 4931,,Gx,GALAXY,20.013,-38.583,,
,IC 4932,,U,UNIDENTIFIED,20.038,-52.833,,
,IC 4933,,Gx,GALAXY,20.058,-54.983,,
,IC 4934,,U,UNIDENTIFIED,20.12,-69.467,,
,IC 4935,,Gx,GALAXY,20.077,-57.6,,
,IC 4936,,Gx,GALAXY,20.098,-61.433,,
,IC 4937,,Gx,GALAXY,20.088,-56.25,,
,IC 4938,,Gx,GALAXY,20.103,-60.217,,
,IC 4939,,U,UNIDENTIFIED,20.12,-60.733,,
,IC 494,14.0,Gx,GALAXY,8.107,1.033,,
,IC 4940,,U,UNIDENTIFIED,20.095,-44.7,,
,IC 4941,,Gx,GALAXY,20.117,-53.65,,
,IC 4942,,Gx,GALAXY,20.113,-52.617,,
,IC 4943,,Gx,GALAXY,20.108,-48.367,,
,IC 4944,,Gx,GALAXY,20.118,-54.45,,
,IC 4945,,Gx,GALAXY,20.188,-71.017,,
,IC 4946,,U,UNIDENTIFIED,20.1,-44.033,,
,IC 4947,,Gx,GALAXY,20.125,-53.133,,
,IC 4948,,U,UNIDENTIFIED,20.108,-43.617,,
,IC 4949,,Gx,GALAXY,20.122,-48.367,,
,IC 495,15.0,Gx,GALAXY,8.138,9.0,,
,IC 4950,,Gx,GALAXY,20.14,-56.167,,
,IC 4951,,Gx,GALAXY,20.158,-61.85,,
,IC 4952,,Gx,GALAXY,20.143,-55.45,,
,IC 4953,,U,UNIDENTIFIED,20.168,-62.8,,
,IC 4954,,Nb,REFLECTION NEBULA,20.08,29.25,,
,IC 4955,,U,UNIDENTIFIED,20.082,29.183,,
,IC 4956,,Gx,GALAXY,20.192,-45.6,,
,IC 4957,,Gx,GALAXY,20.16,-55.717,,
,IC 4958,,U,UNIDENTIFIED,20.258,-72.7,,
,IC 4959,,U,UNIDENTIFIED,20.183,-53.1,,
,IC 496,15.0,Gx,GALAXY,8.162,25.867,,
,IC 4960,,Gx,GALAXY,20.257,-70.533,,
,IC 4961,,Gx,GALAXY,20.192,-53.133,,
,IC 4962,,U,UNIDENTIFIED,20.265,-71.0,,
,IC 4963,,Gx,GALAXY,20.202,-55.25,,
,IC 4964,,Gx,GALAXY,20.29,-73.883,,
,IC 4965,,Gx,GALAXY,20.208,-56.833,,
,IC 4966,,U,UNIDENTIFIED,20.205,-53.6,,
,IC 4967,,Gx,GALAXY,20.273,-70.567,,
,IC 4968,,U,UNIDENTIFIED,20.243,-64.783,,
,IC 4969,,Gx,GALAXY,20.215,-53.917,,
,IC 497,15.0,Gx,GALAXY,8.168,24.883,,
,IC 4970,13.9,Gx,GALAXY,20.282,-70.75,,
,IC 4971,,U,UNIDENTIFIED,20.283,-70.633,,
,IC 4972,,Gx,GALAXY,20.295,-70.917,,
,IC 4973,,U,UNIDENTIFIED,20.243,-58.367,,
,IC 4974,,U,UNIDENTIFIED,20.255,-61.867,,
,IC 4975,,Gx,GALAXY,20.233,-52.717,,
,IC 4976,,U,UNIDENTIFIED,20.258,-61.883,,
,IC 4977,,U,UNIDENTIFIED,20.198,-21.633,,
,IC 4978,,U,UNIDENTIFIED,20.243,-54.433,,
,IC 4979,,Gx,GALAXY,20.245,-53.467,,
,IC 498,15.0,Gx,GALAXY,8.157,5.267,,
,IC 4980,,Gx,GALAXY,20.258,-57.917,,
,IC 4981,,Gx,GALAXY,20.328,-70.85,,
,IC 4982,,U,UNIDENTIFIED,20.34,-71.0,,
,IC 4983,,Gx,GALAXY,20.268,-52.083,,
,IC 4984,,U,UNIDENTIFIED,20.272,-52.717,,
,IC 4985,,U,UNIDENTIFIED,20.345,-70.983,,
,IC 4986,,Gx,GALAXY,20.287,-55.033,,
,IC 4987,,Gx,GALAXY,20.288,-52.283,,
,IC 4988,,U,UNIDENTIFIED,20.363,-69.383,,
,IC 4989,,U,UNIDENTIFIED,20.325,-58.55,,
,IC 499,14.0,Gx,GALAXY,8.767,85.717,,
,IC 4990,,U,UNIDENTIFIED,20.358,-66.9,,
,IC 4991,,Gx,GALAXY,20.307,-41.05,,
,IC 4992,,Gx,GALAXY,20.392,-71.567,,
,IC 4993,,U,UNIDENTIFIED,20.367,-67.0,,
,IC 4994,,Gx,GALAXY,20.328,-53.45,,
,IC 4995,,Gx,GALAXY,20.333,-52.617,,
,IC 4996,7.3,OC,OPEN STAR CLUSTER,20.275,37.633,,
,IC 4997,12.0,Pl,PLANETARY NEBULA,20.337,16.75,,
,IC 4998,,Gx,GALAXY,20.37,-38.3,,
,IC 4999,,Gx,GALAXY,20.398,-26.017,,
,IC 5,14.0,Gx,GALAXY,0.29,-9.55,,
,IC 50,14.0,Gx,GALAXY,0.77,-9.5,,
,IC 500,15.0,Gx,GALAXY,8.21,-16.05,,
